Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
CHAMBRE D'HÔTES AU CHATEAU SAINT- MARC;Chambres d'hôtes;Châteaux et demeures de prestige;;;1 ROUTE DE L'OCEAN;;44600;SAINT-NAZAIRE;;44184;47.2384135;-2.2829737;Transport en commun||Ligne U3 - Arrêt Saint-Marc Mairie||0,5;;02 40 91 78 38;;;www.chateau-saint-marc.com;;Facebook||https://www.facebook.com/Ch%C3%A2teau-de-saint-marc-878385628863199/;;;non;;;non;;Parc/jardin;"Garage;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon";;;;Non classé;2;;;6;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;SEYRES Christian||02 40 91 78 38||chansey@hotmail.fr,SEYRES Christian||06 63 92 44 50||chansey@hotmail.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||149,00||||petit déjeuner : 12€;Chèques bancaires et postaux;47.2384135,-2.2829737;Loire-Atlantique
LE MOULIN DE PLAISANCE;Meublés;Maison;;;;9 MOULIN DE PLAISANCE;44360;CORDEMAIS;;44045;47.3192758;-1.7943788;;06 87 69 24 93;09 50 26 35 91;;;;;Facebook||https://www.facebook.com/moulindeplaisance/;;;non;;;non;;Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Lave vaisselle,Micro ondes;;;;2;0;1;6;67;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Allemand;Anglais;Espagnol;Français";oui;;;;;;"Nuitée (meublé)||||||Semaine hors saison : 295€ - Vacances scolaires et mai/juin : 350€;Juillet/aout : 545€;Week-end : 150€ les 2 nuits ou 200€ les 3 nuits ;Du lundi soir au vendredi matin : 50€/nuit pour 2 adultes, 60€ à partir de 3 adultes";"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.3192758,-1.7943788;Loire-Atlantique
GÎTE BEAU SOLEIL;Meublés;Maison;;;;Beau Soleil;44850;LE CELLIER;;44028;47.342879;-1.354001;;06 60 51 94 00;;;;;;;;;;;;non;;Parc/jardin,Piscine,Piscine couverte;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Terrain clos;Terrasse / Balcon";;;;Non classé;3;;1;6;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo;Français;oui;;;;;;Nuitée (meublé)||170,00||250,00||2 nuits minimum;"Chèques bancaires et postaux;Virement";47.342879,-1.354001;Loire-Atlantique
MAISON 5 PERSONNES - M.PERRAUD;Meublés;Maison;;;1, avenue Aristide Briand;;44490;LE CROISIC;;44049;47.288;-2.50595;;06 89 64 55 50;06 08 67 60 22;;;;;;;;;A voir;;;;;"Jardin indépendant;Plain Pied";Lave vaisselle,Micro ondes;;;Non classé;2;;;5;;;;;;;;;;;Chèques Vacances;47.288,-2.50595;Loire-Atlantique
MAISON 4 PERSONNES - M.DE LAGAUSIE;Meublés;Maison;;;10 place Dinan;;44490;LE CROISIC;;44049;47.29321;-2.50988;;;06 08 16 94 87;;;;;;;;oui;;;;;;Jardin indépendant;Lave linge,Lave vaisselle;;;Non classé;2;;;4;;;Anglais;;;;;;;;;47.29321,-2.50988;Loire-Atlantique
MAISON D'HÔTES IL ÉTAIT UNE FOIS CHEZ MOI;Chambres d'hôtes;Maison;;;10 route de Nantes;;44430;LE LOROUX-BOTTEREAU;;44084;47.2383086;-1.3529559;;06 51 02 09 91;;;;http://www.iletaitunefoischezmoi.fr/;;;;;non;;;non;EV6-La Loire à Vélo;Parc/jardin,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";;Accueil Vélo,La Loire à vélo,Vignobles et découvertes;;Non classé;3;;3;8;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Français";oui;;Isabelle Bigorgne ||06 51 02 09 91||ibigorgne@gmail.com;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.2383086,-1.3529559;Loire-Atlantique
GITE L'ATELIER;Meublés;;;;14 Grande Route de la Trinité;;44190;CLISSON;;44043;47.08871;-1.2779;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;47.08871,-1.2779;Loire-Atlantique
APPARTEMENT 5 PERSONNES *** - CUISNIER CARINE;Meublés;Appartement;;;16 avenue des Petites Orphelines;;44380;PORNICHET;;44132;47.26256;-2.34074;;06 89 35 15 96;02 43 95 52 18;;;;;;;;non;;;;;WiFi;Plain Pied;Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;2;;;5;56;Fourniture de draps (gratuit);;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.26256,-2.34074;Loire-Atlantique
GITE LA PARENTHESE CLISSONNAISE;Meublés;;;;16 Rue de la Vallée;;44190;CLISSON;;44043;47.08733;-1.27857;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;47.08733,-1.27857;Loire-Atlantique
MAISON 8 PERSONNES - VILLA ELIAS;Meublés;Maison;;;;;44500;LA BAULE-ESCOUBLAC;;44055;47.285185;-2.392391;;;06 81 68 68 55;;;http://villaeliaslabaule.com;;;;;non;;;;;;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;4;;;8;180;Location de draps,Location de linge;Anglais;;16/04/2022||15/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||||||;Virement;47.285185,-2.392391;Loire-Atlantique
APPARTEMENT - MONSIEUR ALLARD;Meublés;;;;38 Avenue des Cupressus;;44500;LA BAULE-ESCOUBLAC;;44055;47.285185;-2.392391;;;06 77 69 65 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.285185,-2.392391;Loire-Atlantique
MAISON 6 PERSONNES - MME VAUTIER;Meublés;Maison;;;7, impasse Haute des Bains;;44490;LE CROISIC;;44049;47.29288;-2.510964;;06 90 49 60 75;05 90 68 70 35;;;;;;;;oui;;;;;;Jardin indépendant;Lave linge,Lave vaisselle,Micro ondes;;;Non classé;3;;;6;;;Anglais;;;;;;;;;47.29288,-2.510964;Loire-Atlantique
CHAMBRES D'HOTES MME RACOUPEAU AURELIE;Chambres d'hôtes;;;;9 chemin des Landes;;44690;LA HAIE-FOUASSIERE;;44070;47.154986;-1.399623;;06 77 10 08 50;;;;;;;;;;;;;;;;;;;Non classé;;;;;;;;;;;;;;;;47.154986,-1.399623;Loire-Atlantique
MAISON 4 PERSONNES - MME TESSIER;Meublés;Maison;;;17, avenue de Port Val;;44490;LE CROISIC;;44049;47.29883;-2.5402;;;02 40 23 08 70;;;;;;;;;;;;;;Jardin indépendant;Lave linge;;;Non classé;;;;4;;;;;;;;;;;;47.29883,-2.5402;Loire-Atlantique
LE GÎTE CÔTÉ JARDIN;Meublés;Maison;;;186 rue du Chef de l'île;Ile de Fédrun;44720;SAINT-JOACHIM;;44168;47.37087;-2.21335;;06 13 96 63 91;02 40 66 44 43;;;;;;;;;;;non;;WiFi;"Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle;;;2 étoiles;1;;;2;40;Location de draps,Location de linge,Location/prêt de vélo;;oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||380,00||520,00||;Chèques bancaires et postaux;47.37087,-2.21335;Loire-Atlantique
MAISON 7 PERSONNES - GOLF 1 - MME ROBLIN;Meublés;Maison;;;2 avenue de St Andrews;Domaine du Golf;44420;MESQUER;;44097;47.39524;-2.49242;;06 03 89 59 20;02 40 06 18 28;;;;;;;;oui;;;;;;"Garage;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;3;;;7;119;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.39524,-2.49242;Loire-Atlantique
GÎTE DU FOURNEAU;Meublés;Maison;;;2 rue de la Halle au Fourneau;;44520;MOISDON-LA-RIVIERE;;44099;47.6047857;-1.3486152;;;;;;;;;;;;;;non;;WiFi;;;;;2 étoiles;2;;1;5;;;;;;;;;;Semaine (meublé)||290,00||440,00||;;47.6047857,-1.3486152;Loire-Atlantique
MAISON 26 PERSONNES -  WAROC'H;Meublés;Maison;;;21 avenue Henri Becquerel;;44490;LE CROISIC;;44049;47.28272;-2.51058;;;06 08 22 91 34;;;http://www.grandgitelecroisic.fr;;;;;;;;;;;"Garage;Jardin indépendant;Parking";Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;Non classé;;;;;250;;;;;;;;;;Chèques Vacances;47.28272,-2.51058;Loire-Atlantique
AR MILIN/LE NID/LE RAFLO;Meublés;;;;22 Lieu-dit le moulin de la Haie Mériais;;44360;CORDEMAIS;;44045;47.30772;-1.82116;;06 43 40 84 97;;;;https://www.gites-ar-milin.com/;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;47.30772,-1.82116;Loire-Atlantique
MAISON 4 PERSONNES - MME LIEGEOIS - CODEVELLE;Meublés;Maison;;;22 route de Ker Jacot;;44740;BATZ-SUR-MER;;44010;47.27011;-2.44562;;06 58 17 66 83;;;;https://www.homelidays.com/hebergement/p6331983?uniid=1954939;;;;;;;;non;;;"Parking;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;4 étoiles;;;;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||770,00||840,00||;;47.27011,-2.44562;Loire-Atlantique
MAISON 7 PERSONNES - MME THALGOTT;Meublés;Maison;;;23 Haute Grande Rue;;44490;LE CROISIC;;44049;47.29801;-2.51629;;06 83 32 35 70;06 32 64 07 27;;;http://https//maisonducroisic.jimdo.com;;;;;;;;;;;Terrain clos;Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;3;;;7;;;;;;;;;;;;47.29801,-2.51629;Loire-Atlantique
APPARTEMENT  4 PERSONNES - MME RIPOCHE;Meublés;Appartement;;;24a rue de Kerdavid;;44490;LE CROISIC;;44049;47.29725;-2.52017;;;07 82 04 83 05;;;;;;;;oui;;;;;;;Lave linge,Lave vaisselle;;;Non classé;1;;;4;;;;;;;;;;;;47.29725,-2.52017;Loire-Atlantique
MAISON 4 PERSONNES - MME SÈVE-LAUNAY;Meublés;Maison;;;25, village de Lamsac;;44490;LE CROISIC;;44049;47.29294;-2.52716;;;04 74 62 83 77;;;;;;;;;;;;;;;Lave linge,Lave vaisselle;;;Non classé;5;;;4;;;Anglais;;;;;;;;;47.29294,-2.52716;Loire-Atlantique
AUX GÎTES DE MAËLLE;Meublés;Maison;;;26 chemin Thobie;;44350;GUERANDE;;44069;47.32673;-2.43759;;;06 20 14 62 55;;;http://www.auxgitesdemaelle.com;;;;;;;;;;;"Parking;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle;;;2 étoiles;1;;;4;36;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Allemand;Anglais";;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.32673,-2.43759;Loire-Atlantique
GÎTE LE NID DU HÉRON;Meublés;;;;26 Lieu-dit Le Chiron;;44310;SAINT-LUMINE-DE-COUTAIS;;44174;47.04253;-1.70322;;;06 52 40 79 15;;;;;;;;;;;non;;Climatisation,WiFi;;;;;;1;;1;4;;;Français;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.04253,-1.70322;Loire-Atlantique
MAISON 5 PERSONNES - MME CRONIER;Meublés;Maison;;;26 route de Port au Loup;;44420;PIRIAC-SUR-MER;;44125;47.38692;-2.52653;;06 45 57 62 56;;;;;;;;;;;;;;;"Jardin indépendant;Local vélo;Plain Pied;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;;2;;;5;75;;;;01/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||800,00||800,00||;"Chèques bancaires et postaux;Virement";47.38692,-2.52653;Loire-Atlantique
MAISON 10 PERSONNES - M. NEUVEGLISE;Meublés;Maison;;;279 rue de Kerro;;44420;MESQUER;;44097;47.39417;-2.49633;;06 31 82 62 95;02 40 42 59 35;;;;;;;;oui;;;;;;"Jardin indépendant;Local vélo;Parking;Plain Pied;Terrain clos;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;5;;;9;133;Location de draps,Location de linge;Anglais;;26/02/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||450,00||800,00||,Week-end (meublé)||160,00||250,00||;"Chèques bancaires et postaux;Virement";47.39417,-2.49633;Loire-Atlantique
MAISON 4 PERSONNES ** - MORVAN SANDRINE;Meublés;Maison;;;28 avenue de Mazy;;44380;PORNICHET;;44132;47.27266;-2.35407;;06 73 36 70 47;;;;;;;;;oui;;;;;;"Parking;Terrasse / Balcon";Equipement bébé,Micro ondes;;;2 étoiles;2;;;4;50;;Anglais;;01/01/2022||31/12/2022||Toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||||||;"Chèques bancaires et postaux;Espèces";47.27266,-2.35407;Loire-Atlantique
MEUBLÉ L'ÉSCALE AU CÔTEAU;Meublés;Appartement;;;3 Impasse Alfred Musset;;44240;SUCE-SUR-ERDRE;;44201;47.342971;-1.53342;;0685744596;;;;;;;;;non;;;non;;Climatisation,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;1;;1;3;40;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;oui;;;;;;Nuitée (meublé)||||||sans le petit déjeuner;"Chèques bancaires et postaux;Espèces";47.342971,-1.53342;Loire-Atlantique
GITE LA GRAVOIRE;Meublés;Maison;;;3 la Gravoire;;44330;VALLET;;44212;47.1592078;-1.1958354;;;;;;;;;;;non;;;non;;WiFi;"Sanitaires privés;Terrasse / Balcon;Toilettes séparées";;;;;1;;1;4;42;;"Anglais;Espagnol";oui;;;;;;Nuitée (meublé)||110,00||||;"Espèces;Virement";47.1592078,-1.1958354;Loire-Atlantique
LA CHAUMIÈRE DU CHAMP D'OR;Meublés;Maison;;;3 route de la villès Rouaud;le Champ d'or;44117;SAINT-ANDRE-DES-EAUX;;44151;47.3205159;-2.2663389;;06 89 89 61 50;;;;http://www.lechamp-dor.fr/la_chaumiere.html;;;;;oui;Sous condition(s) de respect du jardin, chien tenu en laisse et besoin extérieur de la propriété. Sinon application d'un supplément;;non;;Parc/jardin,Piscine,Piscine couverte;"Parking;Terrain clos;Terrasse / Balcon";Lave vaisselle,Micro ondes;Chambre d'hôtes référence,Qualité Tourisme;2 clés (Clévacances);2 étoiles;2;;1;5;54;Fourniture de draps (gratuit),Location de linge,Location/prêt de vélo,Option nettoyage;"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;HEYLIGEN||06 89 89 61 50||lechampdor@orange.fr;;;;;"Chèques bancaires et postaux;Espèces";47.3205159,-2.2663389;Loire-Atlantique
LA CHAMBRÉE DU MARAIS DU DOMAINE DU PETIT MARAIS;Locatif sur camping;Mobilhome;;;30 rue des Fontenelles;Haute Perche - Arthon-en-Retz;44320;CHAUMES-EN-RETZ;;44005;47.143967;-1.956726;;06 77 84 88 45;;;;http://www.domainedupetitmarais.com/;;;;;;;;;;Parc/jardin,Piscine,Plan d'eau;;;;;;;;1;10;;Location de draps,Fourniture de draps (gratuit);;oui;;||06 77 84 88 45||domainedupetitmarais@yahoo.fr;;;;;;47.143967,-1.956726;Loire-Atlantique
LA SABOTIÈRE;Meublés;;;;30 rue du canal;;44460;FEGREAC;;44057;47.5742758;-2.0464064;;;02 51 73 08 53;;;;;;;;;;;;;;;;;;;3;;;5;;;;;;;;;;;;47.5742758,-2.0464064;Loire-Atlantique
LA BELISIANE;Chambres d'hôtes;;;;420 Le Clos d'Orange;;44410;SAINT-LYPHARD;;44175;47.38745;-2.30022;;06 87 19 23 08;02 40 42 09 36;;;http://la-belisiane-chambre-hotes.business.site;;;;;non;;;;;WiFi;"Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";Equipement bébé;;;;2;;;4;;Location/prêt de vélo;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||70,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||59,00||59,00||;"Chèques bancaires et postaux;Espèces";47.38745,-2.30022;Loire-Atlantique
APPARTEMENT 4 PERSONNES MME DESMARTINS-LEDUC;Meublés;Appartement;;;5 quai du Commandant l'Herminier;;44510;LE POULIGUEN;;44135;47.27951;-2.42824;;;06 82 56 41 11;;;;;;;;;;;;;;;;;;Non classé;1;;;4;;;;;;;;;;;;47.27951,-2.42824;Loire-Atlantique
LA GUÉRANDIÈRE;Chambres d'hôtes;;;;5 rue Vannetaise;Intra-muros;44350;GUERANDE;;44069;47.32942;-2.42937;;;02 40 62 17 15;;;http://www.guerandiere.com;;;;;oui;;;;;Espace bien-être,WiFi;"Entrée indépendante;Parking;Sanitaires privés";;;;;7;;;15;;Location/prêt de vélo;Anglais;oui;26/03/2022||02/01/2023||fermeture en janvier et Février et 2eme quinzaine de novembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Espèces";47.32942,-2.42937;Loire-Atlantique
APPARTEMENT 5 PERSONNES - MME BAUMAL;Meublés;Appartement;;;6 bis avenue de Kerjean;;44420;PIRIAC-SUR-MER;;44125;47.37789;-2.5461;;06 18 22 66 37;02 40 23 59 27;;;;;;;;oui;;;;;;"Parking;Terrain clos";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;2;;;5;63;Fourniture de draps (gratuit);;;01/04/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||300,00||500,00||;"Chèques bancaires et postaux;Espèces";47.37789,-2.5461;Loire-Atlantique
GÎTE LES PIEDS SUR TERRE;Meublés;Appartement;;;6 Le Fozo;;44410;HERBIGNAC;;44072;47.48665;-2.29007;;06 50 47 73 88;02 40 88 86 23;;;https://gite.fozo.fr/;;;;;;;;;;;"Jardin indépendant;Terrasse / Balcon";Lave linge,Micro ondes;;;;1;;;2;30;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.48665,-2.29007;Loire-Atlantique
MEUBLÉ 2 PERSONNES - HONORÉ DE BALZAC ENTRESELETSABLE;Meublés;Maison;;;60 rue de Ker d'Abas;;44740;BATZ-SUR-MER;;44010;47.27762;-2.48218;;+3 30 68 19 13 10 2;+3 30 24 06 07 18 0;;;http://www.entreseletsable.com;;;;;non;sauf accord discuté avec le propriétaire;;;;Piscine;"Garage;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;5 étoiles;1;;;2;125;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol";;06/12/2021||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||700,00||700,00||,Week-end (meublé)||400,00||400,00||;"Cartes bancaires;Virement";47.27762,-2.48218;Loire-Atlantique
APPARTEMENT 4 PERSONNES -  M. ET MME DANTO;Meublés;Appartement,Maison;;;7 rue du Mané;;44420;PIRIAC-SUR-MER;;44125;47.37737;-2.55013;;06 61 18 53 55;02 40 23 53 55;;;https://kercejo.jimdofree.com/;;;;;oui;;;;;;"Local vélo;Parking;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;2;;;4;60;Location de draps;;;01/04/2022||12/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||295,00||545,00||,Week-end (meublé)||53,00||60,00||;"Chèques bancaires et postaux;Espèces;Virement";47.37737,-2.55013;Loire-Atlantique
LES COCONS DU PATIS;Chambres d'hôtes;Maison;;;8 le Patis;;44530;GUENROUET;;44068;47.47503;-1.9051;;06 24 27 47 48;;;;;;;;;non;;;non;;WiFi;"Parking;Sanitaires privés";Equipement bébé;;;;;;;4;;;Anglais;;01/01/2021||31/12/2021||Fermeture des chambres pendant la période du covid||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Taxe de séjour / nuit / pers||0,60||0,60||;"Chèques bancaires et postaux;Espèces;Virement";47.47503,-1.9051;Loire-Atlantique
MAISON 6 PERSONNES - M. ET MME PILLET;Meublés;Maison;;;8 rue des Charpentiers;Domaine des Sources de Codan;44510;LE POULIGUEN;;44135;47.27048;-2.43971;;;06 86 78 03 18;;;http://www.homelidays.com/hebergement/p6684704;;;;;non;;;;;;"Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;3;;;6;110;;;;;;;;;;"Chèques bancaires et postaux;Virement";47.27048,-2.43971;Loire-Atlantique
AUX CHANTS DES OISEAUX;Chambres d'hôtes;Maison;;;9 La Championnerie;;44320;SAINT-VIAUD;;44192;47.27578;-1.99843;;06 33 50 52 02;;;;;;;;;;;;;;Parc/jardin,WiFi;"Entrée indépendante;Parking";Equipement bébé;;;;1;;;3;;;;;01/04/2019||31/10/2019||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/04/2020||31/10/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||80,00||,Table d'hôtes||25,00||28,00||;Espèces;47.27578,-1.99843;Loire-Atlantique
CHAMBRE D'HÔTES LA CABANE DE MATHILDE;Hébergement insolite;Cabane;;;Brin de Chevrette;1 La Haute Chapelette;44540;VALLONS-DE-L'ERDRE;;44180;47.51657;-1.239239;;06 31 42 84 56;06 81 10 01 54;;;http://www.brindechevrette.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2308616-d5600777-Reviews-Cabanes_Dans_les_Arbres_Brin_de_Chevrette-Bonnoeuvre_Loire_Atlantique_Pays_de_la_Loir.html;;"<div id=""TA_selfserveprop963"" class=""TA_selfserveprop"">;<ul id=""da0bQQq"" class=""TA_links 3sJUyhqc"">;<li id=""oTXzNi"" class=""n3yJ8Ab"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=963&amp;locationId=5600777&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";non;;;non;;Parc/jardin;"Jardin indépendant;Sanitaires privés;Terrasse / Balcon";;;;Non classé;1;;;;;Fourniture de draps (gratuit);"Anglais;Français";oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.51657,-1.239239;Loire-Atlantique
FERME LAIT PRÉS VERTS - CHAMBRES D'HÔTES;Chambres d'hôtes;Maison;;;Cannevé;;44350;GUERANDE;;44069;47.31599;-2.37337;;06 24 85 67 27;;;;https://fermelaitpresverts.fr/;;;;;non;;;;;WiFi;"Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé;Bienvenue à la Ferme;;;;;;4;;Tables d'hôtes;Anglais;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||70,00||80,00||;"Chèques bancaires et postaux;Espèces;Virement";47.31599,-2.37337;Loire-Atlantique
GÎTE BAROQUE CHAIS DE L'EPINAY;Meublés;;;;Chais de l'Epinay;L'Epinay;44140;LE BIGNON;;44014;47.10975;-1.52314;;;02 40 75 78 08;;;www.chaisdelepinay.com;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Sanitaires privés;Toilettes séparées";Micro ondes;;;;1;0;1;2;;;"Anglais;Français";oui;;Romain LE GUELLAFF||06 65 10 33 20||chaisdelepinay44@gmail.com;;;;;;47.10975,-1.52314;Loire-Atlantique
RESIDENCES DE LOISIRS CHAIS DE L'EPINAY APHRODITE;Meublés;Mobilhome;;;Chais de l'Epinay;L'Epinay;44140;LE BIGNON;;44014;47.10975;-1.52314;;;02 40 75 48 08;;;https://www.locationsalle44.com;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Micro ondes;;;;3;0;1;8;;;"Anglais;Français";oui;;Romain LE GUELLAFF||06 65 10 33 20||chaisdelepinay44@gmail.com;;;;;;47.10975,-1.52314;Loire-Atlantique
